"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000094";"2";"N RN5";"0";"N/A";"3";"2";"0";"1";"10";"0";"1";"";" -1";"1";"9";"1";"90"
"202100000095";"4";"RUE ROGER SALENGRO";"0";"N/A";"1";"2";"0";"1";"0";"0";"1";"";" -1";"2";"9";"8";"50"
"202100000096";"3";"MARECHAL JUINI(RUE)";"0";"N/A";"1";"1";"1";"1";"0";"0";"2";"";" -1";"2";"9";"5";"50"
"202100000097";"4";"PASCAL";"0";"N/A";"2";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"5";"1";"50"
"202100000098";"3";"9";" -1";"N/A";"2";"2";"0";"1";"8";"100";"1";"";" -1";"1";"0";"1";"70"
"202100000099";"2";"RD 925";"0";"N/A";"3";"2";"0";"1";"30";"223";"1";"";" -1";"2";"0";"1";"80"
"202100000100";"3";"SAINT DENIS (RUE DE)";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"1";"0";"4";"50"
"202100000101";"4";"N/A";" -1";"N/A";" -1";"1";"1";"1";"(1)";"(1)";"1";"";" -1";"9";"6";"5";" -1"
"202100000102";"2";"311";" -1";"N/A";"2";"2";"0";"2";"(1)";"(1)";"3";"";" -1";"1";"0";"3";"60"
"202100000103";"4";"N/A";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000104";"3";"1205";" -1";"N/A";"2";"2";"0";"1";"41";"400";"1";"";" -1";"2";"0";"1";"80"
"202100000105";"3";"16";"0";"D";"2";"2";"0";"2";"24";"130";"2";"";" -1";"2";"0";"1";"70"
"202100000106";"4";"DEPORTES (ROUTE DES )";"0";"N/A";"2";"2";"0";"1";"0";"1";"1";"";" -1";"7";"0";"1";"50"
"202100000107";"4";"N/A";" -1";"N/A";"2";" -1";"0";"1";"(1)";"(1)";"2";"";" -1";"1";"0";"1";" -1"
"202100000108";"4";"ANTHONY BAMBRIDGE (RUE)";"0";"N/A";"2";"2";"0";"2";"0";"0";"2";"";" -1";"1";"2";"1";"30"
"202100000109";"3";"977";" -1";"N/A";"2";"2";"0";"1";"14";"300";"1";"";" -1";"1";"0";"8";"80"
"202100000110";"4";"REPUBLIQUE (AVENUE DE LA)";"0";"N/A";"3";"4";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000111";"4";"VAURANNE BOULEVARD DE";"0";"N/A";"2";"4";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202100000112";"9";"N/A";" -1";"N/A";"2";"1";" -1";"2";"(1)";"(1)";"1";"";" -1";"6";"8";"8";" -1"
"202100000113";"3";"FREDERIC SOULIE RUE";"0";"N/A";" -1";"2";"0";"3";"0";"0";"2";"";" -1";"1";"0";"4";"50"
"202100000114";"4";"FLOQUET CHARLES (AVENUE)";"0";"N/A";"1";"1";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"30"
"202100000115";"3";"955";"0";"N/A";"2";"2";"0";"1";"47";"400";"3";"";" -1";"2";"0";"1";"80"
"202100000116";"3";"LYON (AVENUE DE)";"0";"N/A";"2";"2";"0";"1";"3";"650";"1";"";" -1";"2";"0";"1";"50"
"202100000117";"4";"VACHET (RUE JULIEN)";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000118";"4";"CHASSEURS (RUE DU 16 EME)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"9";"1";"50"
"202100000119";"4";"JEAN DE LA FONTAINE (PLACE)";"0";"N/A";"3";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"8";"30"
"202100000120";"3";"EMERY (AVENUE ANDRE)";"0";"N/A";"2";"3";"0";"1";"1";"240";"1";"";" -1";"2";"5";"1";"50"
"202100000121";"4";"PARIS (AVENUE DE)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000122";"7";"D.5";"0";"N/A";"2";"2";"0";"1";"1";"0";"1";"";" -1";"1";"0";"1";"80"
"202100000123";"2";"RN165 (VE)";"0";"N/A";"3";"2";"0";"1";"35";"800";"1";"";" -1";"1";"0";"1";"110"
"202100000124";"3";"SAINTE BEUVE (Bld)";"0";"N/A";"2";"2";"0";"2";"46";"700";"3";"";" -1";"1";"0";"1";"50"
"202100000125";"3";"RD 1005";"0";"N/A";"1";"1";"0";"1";"18";"150";"2";"";" -1";"2";"2";"1";"90"
"202100000126";"3";"342";"0";"N/A";"2";"2";"0";"2";"33";"434";"1";"";" -1";"1";"0";"1";"70"
"202100000127";"4";"BOURGET (AVENUE PAUL)";"0";"N/A";"4";"0";"3";"1";"0";"0";"1";"";" -1";"1";"4";"6";"40"
"202100000128";"2";"RN 1569 LA TRANSHUMANCE";"0";"N/A";"2";"1";"0";"1";"1";"0";"3";"";" -1";"1";"9";"1";"80"
