"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202000000276";"18";"9";"2020";"13:35";"1";"971";"97125";"2";"2";"1";"5";"8 Les Floralies à Meudon";"16,2604000";" -61,2758800"
"202000000277";"29";"8";"2020";"09:30";"1";"971";"97125";"1";"3";"1";"6";"Desvarieux";"16,2732692";" -61,2786645"
"202000000278";"20";"9";"2020";"19:30";"2";"29";"29233";"1";"1";"1";"7";"Lieu-Dit Lothéa";"47,8465600";" -3,5446360"
"202000000279";"20";"9";"2020";"04:00";"3";"45";"45278";"1";"1";"1";"2";"D43";"47,8052000";"2,8305670"
"202000000280";"20";"9";"2020";"00:15";"5";"83";"83065";"1";"1";"8";"1";"D98a";"43,2579990";"6,5947200"
"202000000281";"5";"9";"2020";"12:42";"1";"13";"13004";"1";"9";"1";"3";"RD570";"43,6084100";"4,4776800"
"202000000282";"20";"9";"2020";"19:45";"3";"13";"13096";"1";"3";"1";"3";"D38";"43,4983090";"4,3825790"
"202000000283";"18";"9";"2020";"09:50";"1";"39";"39097";"2";"1";"1";"2";"317 Avenue du Maréchal de Lattre de Tassigny";"46,7479550";"5,9186540"
"202000000284";"21";"9";"2020";"16:05";"1";"57";"57433";"2";"1";"1";"6";"34 Route de Metz";"49,2003270";"6,1600150"
"202000000285";"21";"9";"2020";"17:25";"1";"42";"42147";"2";"1";"1";"6";"Avenue d'Allard";"45,6066560";"4,0559720"
"202000000286";"20";"9";"2020";"21:08";"3";"38";"38051";"1";"1";"1";"6";"Route de Chanas";"45,3297780";"4,8874300"
"202000000287";"20";"9";"2020";"20:55";"5";"69";"69291";"2";"2";"8";"1";"19 Avenue de Burago Di Molgora";"45,6332970";"4,8596770"
"202000000288";"20";"9";"2020";"19:45";"5";"69";"69125";"2";"8";"2";"3";"Route de Chazay";"45,8727500";"4,7247500"
"202000000289";"20";"9";"2020";"11:00";"1";"85";"85227";"1";"2";"1";"2";"La Bonnette";"46,4785550";" -0,6618220"
"202000000290";"21";"9";"2020";"17:35";"1";"85";"85178";"1";"3";"1";"1";"La Bardinière";"46,7778220";" -1,4878980"
"202000000291";"21";"9";"2020";"07:30";"2";"50";"50099";"2";"1";"1";"6";"Route de Saint-côme";"49,3135340";" -1,2586050"
"202000000292";"16";"9";"2020";"12:45";"1";"14";"14068";"2";"1";"1";"6";"40 Rue d'Outreval";"49,2300660";" -0,3310380"
"202000000293";"17";"9";"2020";"13:45";"1";"29";"29144";"1";"1";"1";"6";"D764 - Rosquervel";"48,4368030";" -4,1638610"
"202000000294";"20";"9";"2020";"17:45";"1";"27";"27280";"1";"1";"1";"6";"Route départementale 57";"49,0323960";"1,2687060"
"202000000295";"21";"9";"2020";"14:20";"1";"60";"60395";"2";"1";"1";"3";"87 Rue Louis Deshayes";"49,2463534";"2,1336089"
"202000000296";"21";"9";"2020";"15:20";"1";"80";"80625";"2";"1";"1";"6";"route nationale";"49,7155936";"2,5395314"
"202000000297";"19";"9";"2020";"22:50";"5";"59";"59011";"2";"1";"1";"3";"10 Rue Lavoisier";"50,5280070";"2,9439500"
"202000000298";"19";"9";"2020";"21:08";"5";"13";"13055";"1";"1";"2";"5";"A507 sens Marseille - Aubagne";"43,2954000";"5,4243000"
"202000000299";"19";"9";"2020";"20:10";"3";"42";"42110";"1";"9";"8";"2";"A47";"45,4949200";"4,5547500"
"202000000300";"20";"9";"2020";"17:05";"1";"91";"91312";"1";"1";"1";"7";"RD 444";"48,7330700";"2,2337000"
"202000000301";"24";"6";"2020";"12:00";"1";"35";"35238";"2";"2";"1";"3";"PAYS-BAS (AVENUE DES)";"48,0846000";" -1,6607300"
"202000000302";"24";"6";"2020";"12:45";"1";"33";"33013";"1";"1";"1";"4";"ROUTE NATIONALE 89";"44,8664200";" -0,4868800"
"202000000303";"24";"6";"2020";"07:30";"1";"33";"33318";"2";"3";"1";"3";"Avenue du Bourgailh";"44,8024600";" -0,6631900"
"202000000304";"15";"6";"2020";"16:41";"1";"33";"33522";"2";"9";"1";"6";"PARKING INTERMARCHE";"44,8068500";" -0,5742300"
